都道府県,開始日,終了日,救急搬送困難事案数
北海道,"2020-03-30","2020-04-05",33
青森県,"2020-03-30","2020-04-05",0
岩手県,"2020-03-30","2020-04-05",3
宮城県,"2020-03-30","2020-04-05",29
秋田県,"2020-03-30","2020-04-05",0
山形県,"2020-03-30","2020-04-05",0
福島県,"2020-03-30","2020-04-05",2
茨城県,"2020-03-30","2020-04-05",11
栃木県,"2020-03-30","2020-04-05",4
群馬県,"2020-03-30","2020-04-05",0
埼玉県,"2020-03-30","2020-04-05",36
千葉県,"2020-03-30","2020-04-05",81
東京都,"2020-03-30","2020-04-05",765
神奈川県,"2020-03-30","2020-04-05",86
新潟県,"2020-03-30","2020-04-05",18
富山県,"2020-03-30","2020-04-05",0
石川県,"2020-03-30","2020-04-05",3
福井県,"2020-03-30","2020-04-05",0
山梨県,"2020-03-30","2020-04-05",4
長野県,"2020-03-30","2020-04-05",0
岐阜県,"2020-03-30","2020-04-05",4
静岡県,"2020-03-30","2020-04-05",0
愛知県,"2020-03-30","2020-04-05",16
三重県,"2020-03-30","2020-04-05",0
滋賀県,"2020-03-30","2020-04-05",0
京都府,"2020-03-30","2020-04-05",17
大阪府,"2020-03-30","2020-04-05",165
兵庫県,"2020-03-30","2020-04-05",22
奈良県,"2020-03-30","2020-04-05",2
和歌山県,"2020-03-30","2020-04-05",3
鳥取県,"2020-03-30","2020-04-05",0
島根県,"2020-03-30","2020-04-05",0
岡山県,"2020-03-30","2020-04-05",5
広島県,"2020-03-30","2020-04-05",29
山口県,"2020-03-30","2020-04-05",1
徳島県,"2020-03-30","2020-04-05",3
香川県,"2020-03-30","2020-04-05",10
愛媛県,"2020-03-30","2020-04-05",0
高知県,"2020-03-30","2020-04-05",9
福岡県,"2020-03-30","2020-04-05",15
佐賀県,"2020-03-30","2020-04-05",2
長崎県,"2020-03-30","2020-04-05",5
熊本県,"2020-03-30","2020-04-05",5
大分県,"2020-03-30","2020-04-05",5
宮崎県,"2020-03-30","2020-04-05",2
鹿児島県,"2020-03-30","2020-04-05",0
沖縄県,"2020-03-30","2020-04-05",0
北海道,"2020-04-06","2020-04-12",30
青森県,"2020-04-06","2020-04-12",1
岩手県,"2020-04-06","2020-04-12",6
宮城県,"2020-04-06","2020-04-12",40
秋田県,"2020-04-06","2020-04-12",0
山形県,"2020-04-06","2020-04-12",2
福島県,"2020-04-06","2020-04-12",5
茨城県,"2020-04-06","2020-04-12",7
栃木県,"2020-04-06","2020-04-12",3
群馬県,"2020-04-06","2020-04-12",0
埼玉県,"2020-04-06","2020-04-12",43
千葉県,"2020-04-06","2020-04-12",75
東京都,"2020-04-06","2020-04-12",998
神奈川県,"2020-04-06","2020-04-12",126
新潟県,"2020-04-06","2020-04-12",23
富山県,"2020-04-06","2020-04-12",1
石川県,"2020-04-06","2020-04-12",2
福井県,"2020-04-06","2020-04-12",0
山梨県,"2020-04-06","2020-04-12",8
長野県,"2020-04-06","2020-04-12",0
岐阜県,"2020-04-06","2020-04-12",1
静岡県,"2020-04-06","2020-04-12",4
愛知県,"2020-04-06","2020-04-12",26
三重県,"2020-04-06","2020-04-12",0
滋賀県,"2020-04-06","2020-04-12",0
京都府,"2020-04-06","2020-04-12",26
大阪府,"2020-04-06","2020-04-12",218
兵庫県,"2020-04-06","2020-04-12",32
奈良県,"2020-04-06","2020-04-12",0
和歌山県,"2020-04-06","2020-04-12",2
鳥取県,"2020-04-06","2020-04-12",0
島根県,"2020-04-06","2020-04-12",0
岡山県,"2020-04-06","2020-04-12",6
広島県,"2020-04-06","2020-04-12",15
